,close
2022-01-13 09:30:00,8.16
2022-01-13 09:31:00,8.06
2022-01-13 09:32:00,7.98
2022-01-13 09:33:00,8.01
2022-01-13 09:34:00,8.02
2022-01-13 09:35:00,8.02
2022-01-13 09:36:00,8.07
2022-01-13 09:37:00,8.08
2022-01-13 09:38:00,8.06
2022-01-13 09:39:00,8.1
2022-01-13 09:40:00,8.12
2022-01-13 09:41:00,8.08
2022-01-13 09:42:00,8.14
2022-01-13 09:43:00,8.13
2022-01-13 09:44:00,8.1
2022-01-13 09:45:00,8.06
2022-01-13 09:46:00,8.09
2022-01-13 09:47:00,8.07
2022-01-13 09:48:00,8.05
2022-01-13 09:49:00,8.04
2022-01-13 09:50:00,8.03
2022-01-13 09:51:00,8.02
2022-01-13 09:52:00,8.03
2022-01-13 09:53:00,8.03
2022-01-13 09:54:00,8.01
2022-01-13 09:55:00,8.01
2022-01-13 09:56:00,7.97
2022-01-13 09:57:00,7.98
